,accuracy,lr
620,0.7583,0.001
621,0.7583,0.001
622,0.759,0.001
623,0.7655,0.001
624,0.7567,0.001
625,0.7583,0.001
626,0.7617,0.001
627,0.7569,0.001
628,0.7545,0.001
629,0.7632,0.001
630,0.7659,0.001
631,0.7615,0.001
632,0.7647,0.001
633,0.764,0.001
634,0.7635,0.001
635,0.7585,0.001
636,0.7574,0.001
637,0.7613,0.001
638,0.7642,0.001
639,0.7635,0.001
640,0.7621,0.001
641,0.7507,0.001
642,0.7506,0.001
643,0.749,0.001
644,0.761,0.001
645,0.7648,0.001
646,0.7621,0.001
647,0.7643,0.001
648,0.7653,0.001
649,0.7636,0.001
650,0.7651,0.001
651,0.7641,0.001
652,0.7655,0.001
653,0.7666,0.001
654,0.7654,0.001
655,0.7666,0.001
656,0.7655,0.001
657,0.7661,0.001
658,0.7661,0.001
659,0.7674,0.001
660,0.7414,0.001
661,0.7568,0.001
662,0.7607,0.001
663,0.7657,0.001
664,0.7649,0.001
665,0.7646,0.001
666,0.7622,0.001
667,0.7606,0.001
668,0.7591,0.001
669,0.7514,0.001
670,0.7555,0.001
671,0.7641,0.001
672,0.7636,0.001
673,0.7648,0.001
674,0.7626,0.001
675,0.7632,0.001
676,0.759,0.001
677,0.764,0.001
678,0.7591,0.001
679,0.7619,0.001
680,0.7661,0.001
681,0.7646,0.001
682,0.7688,0.001
683,0.7611,0.001
684,0.7542,0.001
685,0.7616,0.001
686,0.7694,0.001
687,0.7742,0.001
688,0.7757,0.001
689,0.7764,0.001
690,0.7771,0.001
691,0.7775,0.001
692,0.7789,0.001
693,0.7779,0.001
694,0.7768,0.001
695,0.7777,0.001
696,0.7773,0.001
697,0.7773,0.001
698,0.7765,0.001
699,0.7772,0.001
700,0.7781,0.0001
701,0.7768,0.0002
702,0.7795,0.00030000000000000003
703,0.7788,0.0004
704,0.7808,0.0005
705,0.779,0.0006000000000000001
706,0.779,0.0007000000000000001
707,0.7788,0.0008
708,0.7757,0.0009
709,0.7802,0.001
710,0.7781,0.001
711,0.7777,0.001
712,0.7722,0.001
713,0.7604,0.001
714,0.7706,0.001
715,0.7737,0.001
716,0.7764,0.001
717,0.778,0.001
718,0.7781,0.001
719,0.776,0.001
720,0.7728,0.001
721,0.7711,0.001
722,0.7748,0.001
723,0.7744,0.001
724,0.7721,0.001
725,0.7704,0.001
726,0.7737,0.001
727,0.773,0.001
728,0.7739,0.001
729,0.7756,0.001
730,0.7717,0.001
731,0.7661,0.001
732,0.7685,0.001
733,0.7767,0.001
734,0.7778,0.001
735,0.7801,0.001
736,0.7736,0.001
737,0.7751,0.001
738,0.7776,0.001
739,0.7767,0.001
740,0.7753,0.001
741,0.7693,0.001
742,0.774,0.001
743,0.7766,0.001
744,0.7784,0.001
745,0.7755,0.001
746,0.7783,0.001
747,0.7768,0.001
748,0.7694,0.001
749,0.7711,0.001
750,0.7735,0.001
751,0.7776,0.001
752,0.7828,0.001
753,0.7833,0.001
754,0.7792,0.001
755,0.7813,0.001
756,0.7715,0.001
757,0.7734,0.001
758,0.7732,0.001
759,0.7768,0.001
760,0.7818,0.001
761,0.7782,0.001
762,0.7776,0.001
763,0.7839,0.001
764,0.7863,0.001
765,0.7869,0.001
766,0.7873,0.001
767,0.7872,0.001
768,0.7878,0.001
769,0.7879,0.001
770,0.7869,0.001
771,0.7869,0.001
772,0.787,0.001
773,0.7874,0.001
774,0.7855,0.001
775,0.7887,0.001
776,0.7875,0.001
777,0.7875,0.001
778,0.7892,0.001
779,0.7889,0.001
780,0.789,0.001
781,0.7888,0.001
782,0.7884,0.001
783,0.7886,0.001
784,0.7563,0.001
785,0.7778,0.001
786,0.7818,0.001
787,0.785,0.001
788,0.7855,0.001
789,0.7869,0.001
790,0.7859,0.001
791,0.7867,0.001
792,0.7858,0.001
793,0.7858,0.001
794,0.7854,0.001
795,0.785,0.001
796,0.7862,0.001
797,0.7848,0.001
798,0.7859,0.001
799,0.7867,0.001
800,0.7873,0.0001
801,0.7877,0.0002
802,0.7925,0.00030000000000000003
803,0.7916,0.0004
804,0.7918,0.0005
805,0.7907,0.0006000000000000001
806,0.7909,0.0007000000000000001
807,0.7906,0.0008
808,0.7913,0.0009
809,0.7931,0.001
810,0.7919,0.001
811,0.7926,0.001
812,0.7933,0.001
813,0.7929,0.001
814,0.7938,0.001
815,0.7599,0.001
816,0.7818,0.001
817,0.7828,0.001
818,0.793,0.001
819,0.7926,0.001
820,0.7874,0.001
821,0.7825,0.001
822,0.7797,0.001
823,0.7881,0.001
824,0.7944,0.001
825,0.7931,0.001
826,0.7891,0.001
827,0.7912,0.001
828,0.7847,0.001
829,0.7862,0.001
830,0.7869,0.001
831,0.7873,0.001
832,0.7928,0.001
833,0.785,0.001
834,0.7844,0.001
835,0.7805,0.001
836,0.7841,0.001
837,0.7878,0.001
838,0.7902,0.001
839,0.7911,0.001
840,0.7947,0.001
841,0.7923,0.001
842,0.7928,0.001
843,0.7922,0.001
844,0.7949,0.001
845,0.7937,0.001
846,0.7932,0.001
847,0.7833,0.001
848,0.7741,0.001
849,0.7789,0.001
850,0.782,0.001
851,0.7863,0.001
852,0.7856,0.001
853,0.7853,0.001
854,0.7874,0.001
855,0.7798,0.001
856,0.7872,0.001
857,0.7853,0.001
858,0.7887,0.001
859,0.7916,0.001
860,0.7917,0.001
861,0.7921,0.001
862,0.7936,0.001
863,0.7938,0.001
864,0.7918,0.001
865,0.7916,0.001
866,0.7913,0.001
867,0.7937,0.001
868,0.792,0.001
869,0.7927,0.001
870,0.7934,0.001
871,0.7932,0.001
872,0.7936,0.001
873,0.7926,0.001
874,0.7928,0.001
875,0.7936,0.001
876,0.7944,0.001
877,0.7934,0.001
878,0.7929,0.001
879,0.7921,0.001
880,0.7924,0.001
881,0.7925,0.001
882,0.7934,0.001
883,0.7933,0.001
884,0.7943,0.001
885,0.7931,0.001
886,0.7941,0.001
887,0.7932,0.001
888,0.7935,0.001
889,0.7928,0.001
890,0.7935,0.001
891,0.7934,0.001
892,0.7943,0.001
893,0.7933,0.001
894,0.7929,0.001
895,0.7935,0.001
896,0.7936,0.001
897,0.7928,0.001
898,0.7928,0.001
899,0.7942,0.001
900,0.7936,0.0001
901,0.7923,0.0002
902,0.7946,0.00030000000000000003
903,0.794,0.0004
904,0.7945,0.0005
905,0.7927,0.0006000000000000001
906,0.795,0.0007000000000000001
907,0.793,0.0008
908,0.7949,0.0009
909,0.7938,0.001
910,0.7887,0.001
911,0.7836,0.001
912,0.7871,0.001
913,0.7936,0.001
914,0.7983,0.001
915,0.8027,0.001
916,0.8021,0.001
917,0.7916,0.001
918,0.79,0.001
