,accuracy,lr
411,0.7223,0.001
412,0.7273,0.001
413,0.7289,0.001
414,0.7227,0.001
415,0.7233,0.001
416,0.7262,0.001
417,0.7227,0.001
418,0.7234,0.001
419,0.7273,0.001
420,0.7284,0.001
421,0.7189,0.001
422,0.722,0.001
423,0.722,0.001
424,0.7215,0.001
425,0.7223,0.001
426,0.7231,0.001
427,0.7261,0.001
428,0.7256,0.001
429,0.7204,0.001
430,0.7237,0.001
431,0.7212,0.001
432,0.7228,0.001
433,0.7241,0.001
434,0.72,0.001
435,0.7181,0.001
436,0.731,0.001
437,0.7291,0.001
438,0.7207,0.001
439,0.7219,0.001
440,0.7296,0.001
441,0.7077,0.001
442,0.7312,0.001
443,0.7272,0.001
444,0.7218,0.001
445,0.7271,0.001
446,0.7167,0.001
447,0.7241,0.001
448,0.7334,0.001
449,0.7347,0.001
450,0.7315,0.001
451,0.7333,0.001
452,0.7276,0.001
453,0.7289,0.001
454,0.7338,0.001
455,0.7262,0.001
456,0.7309,0.001
457,0.7326,0.001
458,0.7346,0.001
459,0.7349,0.001
460,0.7388,0.001
461,0.7338,0.001
462,0.728,0.001
463,0.7332,0.001
464,0.726,0.001
465,0.7291,0.001
466,0.7297,0.001
467,0.7332,0.001
468,0.735,0.001
469,0.7255,0.001
470,0.7322,0.001
471,0.7329,0.001
472,0.7224,0.001
473,0.7197,0.001
474,0.7187,0.001
475,0.7262,0.001
476,0.722,0.001
477,0.7332,0.001
478,0.7274,0.001
479,0.7322,0.001
480,0.7293,0.001
481,0.73,0.001
482,0.7313,0.001
483,0.7223,0.001
484,0.7241,0.001
485,0.7346,0.001
486,0.7309,0.001
487,0.7341,0.001
488,0.7308,0.001
489,0.7296,0.001
490,0.7255,0.001
491,0.7364,0.001
492,0.7351,0.001
493,0.7303,0.001
494,0.7196,0.001
495,0.7282,0.001
496,0.7327,0.001
497,0.7306,0.001
498,0.7294,0.001
499,0.7331,0.001
500,0.736,0.0001
501,0.7385,0.0002
502,0.7458,0.00030000000000000003
503,0.7462,0.0004
504,0.7454,0.0005
505,0.7446,0.0006000000000000001
506,0.7449,0.0007000000000000001
507,0.7426,0.0008
508,0.7453,0.0009
509,0.7343,0.001
510,0.7421,0.001
511,0.7319,0.001
512,0.7395,0.001
513,0.7433,0.001
514,0.7387,0.001
515,0.7378,0.001
516,0.7493,0.001
517,0.7434,0.001
518,0.7424,0.001
519,0.7421,0.001
520,0.7265,0.001
521,0.7314,0.001
522,0.7389,0.001
523,0.7346,0.001
524,0.7394,0.001
525,0.736,0.001
526,0.7396,0.001
527,0.7367,0.001
528,0.7351,0.001
529,0.7373,0.001
530,0.7406,0.001
531,0.7483,0.001
532,0.7405,0.001
533,0.7455,0.001
534,0.7477,0.001
535,0.7429,0.001
536,0.7317,0.001
537,0.7394,0.001
538,0.7412,0.001
539,0.7458,0.001
540,0.7409,0.001
541,0.7437,0.001
542,0.7406,0.001
543,0.7416,0.001
544,0.7453,0.001
545,0.7437,0.001
546,0.7461,0.001
547,0.7447,0.001
548,0.7436,0.001
549,0.7468,0.001
550,0.7442,0.001
551,0.738,0.001
552,0.7358,0.001
553,0.7485,0.001
554,0.7377,0.001
555,0.7453,0.001
556,0.7472,0.001
557,0.7458,0.001
558,0.741,0.001
559,0.737,0.001
560,0.7474,0.001
561,0.7446,0.001
562,0.7426,0.001
563,0.7466,0.001
564,0.7508,0.001
565,0.7456,0.001
566,0.7498,0.001
567,0.7503,0.001
568,0.7471,0.001
569,0.7379,0.001
570,0.7484,0.001
571,0.7421,0.001
572,0.7451,0.001
573,0.7478,0.001
574,0.7508,0.001
575,0.7497,0.001
576,0.7411,0.001
577,0.7429,0.001
578,0.747,0.001
579,0.7489,0.001
580,0.7483,0.001
581,0.7487,0.001
582,0.7466,0.001
583,0.7415,0.001
584,0.7392,0.001
585,0.7441,0.001
586,0.7469,0.001
587,0.7477,0.001
588,0.744,0.001
589,0.7466,0.001
590,0.7461,0.001
591,0.7443,0.001
592,0.7452,0.001
593,0.7429,0.001
594,0.7399,0.001
595,0.7513,0.001
596,0.7518,0.001
597,0.7457,0.001
598,0.7489,0.001
599,0.7453,0.001
600,0.7536,0.0001
601,0.7557,0.0002
602,0.7598,0.00030000000000000003
603,0.7617,0.0004
604,0.7614,0.0005
605,0.7583,0.0006000000000000001
606,0.7596,0.0007000000000000001
607,0.7612,0.0008
608,0.7608,0.0009
609,0.7601,0.001
610,0.7613,0.001
611,0.7577,0.001
612,0.7369,0.001
613,0.7555,0.001
614,0.7705,0.001
615,0.7596,0.001
616,0.7638,0.001
617,0.7559,0.001
618,0.7594,0.001
619,0.7622,0.001
620,0.7662,0.001
621,0.7611,0.001
622,0.7538,0.001
623,0.7601,0.001
624,0.7643,0.001
625,0.7665,0.001
626,0.7637,0.001
627,0.7636,0.001
628,0.76,0.001
629,0.7598,0.001
630,0.7615,0.001
631,0.7525,0.001
632,0.7536,0.001
633,0.7592,0.001
634,0.7615,0.001
635,0.7607,0.001
636,0.757,0.001
637,0.7555,0.001
638,0.7517,0.001
639,0.7582,0.001
640,0.7579,0.001
641,0.7609,0.001
642,0.7597,0.001
643,0.7559,0.001
644,0.7586,0.001
645,0.7643,0.001
646,0.7622,0.001
647,0.7515,0.001
648,0.7586,0.001
649,0.7662,0.001
650,0.7625,0.001
651,0.7674,0.001
652,0.7666,0.001
653,0.7651,0.001
654,0.7696,0.001
655,0.77,0.001
656,0.7691,0.001
657,0.7697,0.001
658,0.7701,0.001
659,0.7703,0.001
660,0.7702,0.001
661,0.7704,0.001
662,0.7698,0.001
663,0.7709,0.001
664,0.7705,0.001
665,0.7704,0.001
666,0.7721,0.001
667,0.7708,0.001
668,0.7709,0.001
669,0.7704,0.001
670,0.7703,0.001
671,0.7717,0.001
672,0.7709,0.001
673,0.7713,0.001
674,0.7696,0.001
675,0.7709,0.001
676,0.772,0.001
677,0.772,0.001
678,0.7717,0.001
679,0.77,0.001
680,0.7714,0.001
681,0.7722,0.001
682,0.7721,0.001
683,0.7708,0.001
684,0.7708,0.001
685,0.7715,0.001
686,0.7699,0.001
687,0.77,0.001
688,0.7714,0.001
689,0.7716,0.001
690,0.7718,0.001
691,0.7708,0.001
692,0.7715,0.001
693,0.7702,0.001
694,0.7717,0.001
695,0.77,0.001
696,0.7713,0.001
697,0.7717,0.001
698,0.7719,0.001
699,0.7699,0.001
700,0.7742,0.0001
701,0.7751,0.0002
702,0.7753,0.00030000000000000003
703,0.779,0.0004
704,0.7772,0.0005
705,0.7745,0.0006000000000000001
706,0.7745,0.0007000000000000001
707,0.7749,0.0008
708,0.776,0.0009
709,0.7733,0.001
710,0.7746,0.001
711,0.7743,0.001
712,0.7746,0.001
713,0.7616,0.001
714,0.7679,0.001
715,0.7661,0.001
716,0.7694,0.001
717,0.771,0.001
718,0.7652,0.001
719,0.7678,0.001
720,0.7653,0.001
721,0.7662,0.001
722,0.7667,0.001
723,0.7674,0.001
724,0.7688,0.001
725,0.7735,0.001
726,0.7715,0.001
727,0.7734,0.001
728,0.768,0.001
729,0.7645,0.001
730,0.7688,0.001
731,0.7655,0.001
732,0.7681,0.001
733,0.7614,0.001
734,0.7717,0.001
735,0.7717,0.001
736,0.7726,0.001
737,0.7699,0.001
738,0.768,0.001
739,0.7676,0.001
740,0.7704,0.001
741,0.7662,0.001
742,0.763,0.001
743,0.7646,0.001
744,0.766,0.001
745,0.7673,0.001
746,0.7685,0.001
747,0.7685,0.001
748,0.7728,0.001
749,0.772,0.001
750,0.7731,0.001
751,0.7622,0.001
752,0.7689,0.001
753,0.7699,0.001
754,0.7695,0.001
755,0.7729,0.001
756,0.772,0.001
757,0.7673,0.001
758,0.7713,0.001
759,0.7712,0.001
760,0.7731,0.001
761,0.7741,0.001
762,0.7764,0.001
763,0.7747,0.001
764,0.7713,0.001
765,0.7721,0.001
766,0.7663,0.001
767,0.7662,0.001
768,0.7664,0.001
769,0.7732,0.001
770,0.7728,0.001
771,0.7725,0.001
772,0.7669,0.001
773,0.7717,0.001
774,0.7684,0.001
775,0.7711,0.001
776,0.77,0.001
777,0.7713,0.001
778,0.7736,0.001
779,0.7812,0.001
780,0.7812,0.001
781,0.78,0.001
782,0.7784,0.001
783,0.7715,0.001
784,0.7628,0.001
785,0.7674,0.001
786,0.7749,0.001
787,0.7745,0.001
788,0.7721,0.001
789,0.7716,0.001
790,0.7632,0.001
791,0.7716,0.001
792,0.7724,0.001
793,0.7717,0.001
794,0.7703,0.001
795,0.7738,0.001
796,0.7711,0.001
797,0.7683,0.001
798,0.7711,0.001
799,0.7723,0.001
800,0.7756,0.0001
801,0.7769,0.0002
802,0.7786,0.00030000000000000003
803,0.7796,0.0004
804,0.7797,0.0005
805,0.7804,0.0006000000000000001
806,0.7771,0.0007000000000000001
807,0.7817,0.0008
808,0.7813,0.0009
809,0.7787,0.001
810,0.7827,0.001
811,0.7692,0.001
812,0.7764,0.001
813,0.7749,0.001
814,0.7775,0.001
815,0.7757,0.001
816,0.7787,0.001
817,0.7741,0.001
818,0.7713,0.001
819,0.7701,0.001
820,0.7791,0.001
821,0.7786,0.001
822,0.7788,0.001
823,0.7766,0.001
824,0.7798,0.001
825,0.7765,0.001
826,0.7761,0.001
827,0.7669,0.001
828,0.7683,0.001
829,0.7757,0.001
830,0.7751,0.001
831,0.778,0.001
832,0.7801,0.001
833,0.7816,0.001
834,0.7773,0.001
