wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run x9r6i0zr
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260630_235751-x9r6i0zr
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_gmp_accel_sparsity_0.0_final_sparsity_0.95_delta_t_1
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/onhmhsi1
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/x9r6i0zr
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: gmp
sparsity: 0.95
num_mask_updates: 100000
t_end_ratio: 0.8
pruning_ratio: 0.3
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] gmp | sparsity=0.95 | total_steps=108000 | t_end=86400 | delta_t=1

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:26<03:24,  2.29s/it, acc=0.854, lr=0.001, test_acc=0.366]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:26<03:24,  2.29s/it, acc=0.854, lr=0.001, test_acc=0.366]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:28<03:24,  2.29s/it, acc=0.886, lr=0.001, test_acc=0.432]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:28<03:21,  2.29s/it, acc=0.886, lr=0.001, test_acc=0.432]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:28<03:21,  2.29s/it, acc=0.886, lr=0.001, test_acc=0.432]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:30<03:21,  2.29s/it, acc=0.902, lr=0.001, test_acc=0.467]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:30<03:19,  2.29s/it, acc=0.902, lr=0.001, test_acc=0.467]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:30<03:19,  2.29s/it, acc=0.902, lr=0.001, test_acc=0.467]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:33<03:19,  2.29s/it, acc=0.905, lr=0.001, test_acc=0.221]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:33<03:16,  2.29s/it, acc=0.905, lr=0.001, test_acc=0.221]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:33<03:16,  2.29s/it, acc=0.905, lr=0.001, test_acc=0.221]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:35<03:16,  2.29s/it, acc=0.926, lr=0.001, test_acc=0.396]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:35<03:14,  2.29s/it, acc=0.926, lr=0.001, test_acc=0.396]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:35<03:14,  2.29s/it, acc=0.926, lr=0.001, test_acc=0.396]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:37<03:14,  2.29s/it, acc=0.928, lr=0.001, test_acc=0.421]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:37<03:12,  2.29s/it, acc=0.928, lr=0.001, test_acc=0.421]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:37<03:12,  2.29s/it, acc=0.928, lr=0.001, test_acc=0.421]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:40<03:12,  2.29s/it, acc=0.946, lr=0.001, test_acc=0.444]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:40<03:09,  2.29s/it, acc=0.946, lr=0.001, test_acc=0.444]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:40<03:09,  2.29s/it, acc=0.946, lr=0.001, test_acc=0.444]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:42<03:09,  2.29s/it, acc=0.952, lr=0.001, test_acc=0.445]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:42<03:07,  2.28s/it, acc=0.952, lr=0.001, test_acc=0.445]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:42<03:07,  2.28s/it, acc=0.952, lr=0.001, test_acc=0.445]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:44<03:07,  2.28s/it, acc=0.943, lr=0.001, test_acc=0.457]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:44<03:05,  2.29s/it, acc=0.943, lr=0.001, test_acc=0.457]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:44<03:05,  2.29s/it, acc=0.943, lr=0.001, test_acc=0.457]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:46<03:05,  2.29s/it, acc=0.958, lr=0.001, test_acc=0.44] 
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:46<03:03,  2.29s/it, acc=0.958, lr=0.001, test_acc=0.44]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:46<03:03,  2.29s/it, acc=0.958, lr=0.001, test_acc=0.44]
