wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run bwnptjto
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260710_203540-bwnptjto
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.99_pruning_ratio_0.3_delta_t_1
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/fwmccalv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/bwnptjto
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: set
sparsity: 0.99
num_mask_updates: 100000
t_end_ratio: 0.8
pruning_ratio: 0.3
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] set | sparsity=0.99 | total_steps=108000 | t_end=86400 

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 4 | Epoch 45:  45%|████▌     | 45/100 [09:31<11:24, 12.44s/it, acc=0.978, lr=0.001, test_acc=0.554]
Iter 4 | Epoch 45:  46%|████▌     | 46/100 [09:31<11:11, 12.44s/it, acc=0.978, lr=0.001, test_acc=0.554]
Iter 4 | Epoch 46:  46%|████▌     | 46/100 [09:31<11:11, 12.44s/it, acc=0.978, lr=0.001, test_acc=0.554]
Iter 4 | Epoch 46:  46%|████▌     | 46/100 [09:44<11:11, 12.44s/it, acc=0.979, lr=0.001, test_acc=0.525]
Iter 4 | Epoch 46:  47%|████▋     | 47/100 [09:44<10:59, 12.45s/it, acc=0.979, lr=0.001, test_acc=0.525]
Iter 4 | Epoch 47:  47%|████▋     | 47/100 [09:44<10:59, 12.45s/it, acc=0.979, lr=0.001, test_acc=0.525]
Iter 4 | Epoch 47:  47%|████▋     | 47/100 [09:56<10:59, 12.45s/it, acc=0.978, lr=0.001, test_acc=0.546]
Iter 4 | Epoch 47:  48%|████▊     | 48/100 [09:56<10:47, 12.45s/it, acc=0.978, lr=0.001, test_acc=0.546]
Iter 4 | Epoch 48:  48%|████▊     | 48/100 [09:56<10:47, 12.45s/it, acc=0.978, lr=0.001, test_acc=0.546]
Iter 4 | Epoch 48:  48%|████▊     | 48/100 [10:08<10:47, 12.45s/it, acc=0.98, lr=0.001, test_acc=0.555] 
Iter 4 | Epoch 48:  49%|████▉     | 49/100 [10:08<10:34, 12.44s/it, acc=0.98, lr=0.001, test_acc=0.555]
Iter 4 | Epoch 49:  49%|████▉     | 49/100 [10:08<10:34, 12.44s/it, acc=0.98, lr=0.001, test_acc=0.555]
Iter 4 | Epoch 49:  49%|████▉     | 49/100 [10:21<10:34, 12.44s/it, acc=0.981, lr=0.001, test_acc=0.525]
Iter 4 | Epoch 49:  50%|█████     | 50/100 [10:21<10:21, 12.44s/it, acc=0.981, lr=0.001, test_acc=0.525]
Iter 4 | Epoch 50:  50%|█████     | 50/100 [10:21<10:21, 12.44s/it, acc=0.981, lr=0.001, test_acc=0.525]
Iter 4 | Epoch 50:  50%|█████     | 50/100 [10:33<10:21, 12.44s/it, acc=0.98, lr=0.001, test_acc=0.56]  
Iter 4 | Epoch 50:  51%|█████     | 51/100 [10:33<10:08, 12.43s/it, acc=0.98, lr=0.001, test_acc=0.56]
Iter 4 | Epoch 51:  51%|█████     | 51/100 [10:33<10:08, 12.43s/it, acc=0.98, lr=0.001, test_acc=0.56]
Iter 4 | Epoch 51:  51%|█████     | 51/100 [10:46<10:08, 12.43s/it, acc=0.979, lr=0.001, test_acc=0.554]
Iter 4 | Epoch 51:  52%|█████▏    | 52/100 [10:46<09:55, 12.42s/it, acc=0.979, lr=0.001, test_acc=0.554]
Iter 4 | Epoch 52:  52%|█████▏    | 52/100 [10:46<09:55, 12.42s/it, acc=0.979, lr=0.001, test_acc=0.554]
Iter 4 | Epoch 52:  52%|█████▏    | 52/100 [10:58<09:55, 12.42s/it, acc=0.979, lr=0.001, test_acc=0.533]
Iter 4 | Epoch 52:  53%|█████▎    | 53/100 [10:58<09:43, 12.42s/it, acc=0.979, lr=0.001, test_acc=0.533]
Iter 4 | Epoch 53:  53%|█████▎    | 53/100 [10:58<09:43, 12.42s/it, acc=0.979, lr=0.001, test_acc=0.533]
Iter 4 | Epoch 53:  53%|█████▎    | 53/100 [11:11<09:43, 12.42s/it, acc=0.979, lr=0.001, test_acc=0.539]
Iter 4 | Epoch 53:  54%|█████▍    | 54/100 [11:11<09:31, 12.42s/it, acc=0.979, lr=0.001, test_acc=0.539]
Iter 4 | Epoch 54:  54%|█████▍    | 54/100 [11:11<09:31, 12.42s/it, acc=0.979, lr=0.001, test_acc=0.539]
Iter 4 | Epoch 54:  54%|█████▍    | 54/100 [11:23<09:31, 12.42s/it, acc=0.981, lr=0.001, test_acc=0.537]
Iter 4 | Epoch 54:  55%|█████▌    | 55/100 [11:23<09:18, 12.42s/it, acc=0.981, lr=0.001, test_acc=0.537]
Iter 4 | Epoch 55:  55%|█████▌    | 55/100 [11:23<09:18, 12.42s/it, acc=0.981, lr=0.001, test_acc=0.537]
Iter 4 | Epoch 55:  55%|█████▌    | 55/100 [11:35<09:18, 12.42s/it, acc=0.982, lr=0.001, test_acc=0.548]
Iter 4 | Epoch 55:  56%|█████▌    | 56/100 [11:35<09:06, 12.42s/it, acc=0.982, lr=0.001, test_acc=0.548]
Iter 4 | Epoch 56:  56%|█████▌    | 56/100 [11:35<09:06, 12.42s/it, acc=0.982, lr=0.001, test_acc=0.548]
Iter 4 | Epoch 56:  56%|█████▌    | 56/100 [11:48<09:06, 12.42s/it, acc=0.981, lr=0.001, test_acc=0.545]
Iter 4 | Epoch 56:  57%|█████▋    | 57/100 [11:48<08:53, 12.42s/it, acc=0.981, lr=0.001, test_acc=0.545]
Iter 4 | Epoch 57:  57%|█████▋    | 57/100 [11:48<08:53, 12.42s/it, acc=0.981, lr=0.001, test_acc=0.545]
Iter 4 | Epoch 57:  57%|█████▋    | 57/100 [12:00<08:53, 12.42s/it, acc=0.981, lr=0.001, test_acc=0.448]
Iter 4 | Epoch 57:  58%|█████▊    | 58/100 [12:00<08:41, 12.41s/it, acc=0.981, lr=0.001, test_acc=0.448]
Iter 4 | Epoch 58:  58%|█████▊    | 58/100 [12:00<08:41, 12.41s/it, acc=0.981, lr=0.001, test_acc=0.448]
Iter 4 | Epoch 58:  58%|█████▊    | 58/100 [12:13<08:41, 12.41s/it, acc=0.983, lr=0.001, test_acc=0.56] 
Iter 4 | Epoch 58:  59%|█████▉    | 59/100 [12:13<08:28, 12.41s/it, acc=0.983, lr=0.001, test_acc=0.56]
Iter 4 | Epoch 59:  59%|█████▉    | 59/100 [12:13<08:28, 12.41s/it, acc=0.983, lr=0.001, test_acc=0.56]
Iter 4 | Epoch 59:  59%|█████▉    | 59/100 [12:25<08:28, 12.41s/it, acc=0.982, lr=0.001, test_acc=0.537]
Iter 4 | Epoch 59:  60%|██████    | 60/100 [12:25<08:16, 12.41s/it, acc=0.982, lr=0.001, test_acc=0.537]
Iter 4 | Epoch 60:  60%|██████    | 60/100 [12:25<08:16, 12.41s/it, acc=0.982, lr=0.001, test_acc=0.537]
Iter 4 | Epoch 60:  60%|██████    | 60/100 [12:37<08:16, 12.41s/it, acc=0.982, lr=0.001, test_acc=0.542]
Iter 4 | Epoch 60:  61%|██████    | 61/100 [12:37<08:04, 12.43s/it, acc=0.982, lr=0.001, test_acc=0.542]
Iter 4 | Epoch 61:  61%|██████    | 61/100 [12:37<08:04, 12.43s/it, acc=0.982, lr=0.001, test_acc=0.542]
Iter 4 | Epoch 61:  61%|██████    | 61/100 [12:50<08:04, 12.43s/it, acc=0.981, lr=0.001, test_acc=0.529]
Iter 4 | Epoch 61:  62%|██████▏   | 62/100 [12:50<07:52, 12.42s/it, acc=0.981, lr=0.001, test_acc=0.529]
Iter 4 | Epoch 62:  62%|██████▏   | 62/100 [12:50<07:52, 12.42s/it, acc=0.981, lr=0.001, test_acc=0.529]
Iter 4 | Epoch 62:  62%|██████▏   | 62/100 [13:02<07:52, 12.42s/it, acc=0.983, lr=0.001, test_acc=0.532]
Iter 4 | Epoch 62:  63%|██████▎   | 63/100 [13:02<07:39, 12.42s/it, acc=0.983, lr=0.001, test_acc=0.532]
Iter 4 | Epoch 63:  63%|██████▎   | 63/100 [13:02<07:39, 12.42s/it, acc=0.983, lr=0.001, test_acc=0.532]
Iter 4 | Epoch 63:  63%|██████▎   | 63/100 [13:15<07:39, 12.42s/it, acc=0.982, lr=0.001, test_acc=0.447]
Iter 4 | Epoch 63:  64%|██████▍   | 64/100 [13:15<07:27, 12.42s/it, acc=0.982, lr=0.001, test_acc=0.447]
Iter 4 | Epoch 64:  64%|██████▍   | 64/100 [13:15<07:27, 12.42s/it, acc=0.982, lr=0.001, test_acc=0.447]
Iter 4 | Epoch 64:  64%|██████▍   | 64/100 [13:27<07:27, 12.42s/it, acc=0.983, lr=0.001, test_acc=0.53] 
Iter 4 | Epoch 64:  65%|██████▌   | 65/100 [13:27<07:14, 12.42s/it, acc=0.983, lr=0.001, test_acc=0.53]
Iter 4 | Epoch 65:  65%|██████▌   | 65/100 [13:27<07:14, 12.42s/it, acc=0.983, lr=0.001, test_acc=0.53]
Iter 4 | Epoch 65:  65%|██████▌   | 65/100 [13:40<07:14, 12.42s/it, acc=0.981, lr=0.001, test_acc=0.555]
Iter 4 | Epoch 65:  66%|██████▌   | 66/100 [13:40<07:02, 12.42s/it, acc=0.981, lr=0.001, test_acc=0.555]
Iter 4 | Epoch 66:  66%|██████▌   | 66/100 [13:40<07:02, 12.42s/it, acc=0.981, lr=0.001, test_acc=0.555]
Iter 4 | Epoch 66:  66%|██████▌   | 66/100 [13:52<07:02, 12.42s/it, acc=0.984, lr=0.001, test_acc=0.526]
Iter 4 | Epoch 66:  67%|██████▋   | 67/100 [13:52<06:49, 12.42s/it, acc=0.984, lr=0.001, test_acc=0.526]
Iter 4 | Epoch 67:  67%|██████▋   | 67/100 [13:52<06:49, 12.42s/it, acc=0.984, lr=0.001, test_acc=0.526]
Iter 4 | Epoch 67:  67%|██████▋   | 67/100 [14:04<06:49, 12.42s/it, acc=0.982, lr=0.001, test_acc=0.561]
Iter 4 | Epoch 67:  68%|██████▊   | 68/100 [14:04<06:37, 12.42s/it, acc=0.982, lr=0.001, test_acc=0.561]
Iter 4 | Epoch 68:  68%|██████▊   | 68/100 [14:04<06:37, 12.42s/it, acc=0.982, lr=0.001, test_acc=0.561]
Iter 4 | Epoch 68:  68%|██████▊   | 68/100 [14:17<06:37, 12.42s/it, acc=0.983, lr=0.001, test_acc=0.392]
Iter 4 | Epoch 68:  69%|██████▉   | 69/100 [14:17<06:25, 12.42s/it, acc=0.983, lr=0.001, test_acc=0.392]
Iter 4 | Epoch 69:  69%|██████▉   | 69/100 [14:17<06:25, 12.42s/it, acc=0.983, lr=0.001, test_acc=0.392]
Iter 4 | Epoch 69:  69%|██████▉   | 69/100 [14:29<06:25, 12.42s/it, acc=0.982, lr=0.001, test_acc=0.544]
Iter 4 | Epoch 69:  70%|███████   | 70/100 [14:29<06:12, 12.43s/it, acc=0.982, lr=0.001, test_acc=0.544]
Iter 4 | Epoch 70:  70%|███████   | 70/100 [14:29<06:12, 12.43s/it, acc=0.982, lr=0.001, test_acc=0.544]
Iter 4 | Epoch 70:  70%|███████   | 70/100 [14:42<06:12, 12.43s/it, acc=0.983, lr=0.001, test_acc=0.443]
Iter 4 | Epoch 70:  71%|███████   | 71/100 [14:42<06:00, 12.42s/it, acc=0.983, lr=0.001, test_acc=0.443]
Iter 4 | Epoch 71:  71%|███████   | 71/100 [14:42<06:00, 12.42s/it, acc=0.983, lr=0.001, test_acc=0.443]
Iter 4 | Epoch 71:  71%|███████   | 71/100 [14:54<06:00, 12.42s/it, acc=0.984, lr=0.001, test_acc=0.549]
Iter 4 | Epoch 71:  72%|███████▏  | 72/100 [14:54<05:48, 12.43s/it, acc=0.984, lr=0.001, test_acc=0.549]
Iter 4 | Epoch 72:  72%|███████▏  | 72/100 [14:54<05:48, 12.43s/it, acc=0.984, lr=0.001, test_acc=0.549]
Iter 4 | Epoch 72:  72%|███████▏  | 72/100 [15:07<05:48, 12.43s/it, acc=0.983, lr=0.001, test_acc=0.484]
Iter 4 | Epoch 72:  73%|███████▎  | 73/100 [15:07<05:35, 12.43s/it, acc=0.983, lr=0.001, test_acc=0.484]
Iter 4 | Epoch 73:  73%|███████▎  | 73/100 [15:07<05:35, 12.43s/it, acc=0.983, lr=0.001, test_acc=0.484]
Iter 4 | Epoch 73:  73%|███████▎  | 73/100 [15:19<05:35, 12.43s/it, acc=0.984, lr=0.001, test_acc=0.55] 
Iter 4 | Epoch 73:  74%|███████▍  | 74/100 [15:19<05:23, 12.43s/it, acc=0.984, lr=0.001, test_acc=0.55]
Iter 4 | Epoch 74:  74%|███████▍  | 74/100 [15:19<05:23, 12.43s/it, acc=0.984, lr=0.001, test_acc=0.55]
Iter 4 | Epoch 74:  74%|███████▍  | 74/100 [15:31<05:23, 12.43s/it, acc=0.984, lr=0.001, test_acc=0.538]
Iter 4 | Epoch 74:  75%|███████▌  | 75/100 [15:31<05:10, 12.42s/it, acc=0.984, lr=0.001, test_acc=0.538]
Iter 4 | Epoch 75:  75%|███████▌  | 75/100 [15:31<05:10, 12.42s/it, acc=0.984, lr=0.001, test_acc=0.538]
Iter 4 | Epoch 75:  75%|███████▌  | 75/100 [15:44<05:10, 12.42s/it, acc=0.984, lr=0.001, test_acc=0.544]
Iter 4 | Epoch 75:  76%|███████▌  | 76/100 [15:44<04:58, 12.42s/it, acc=0.984, lr=0.001, test_acc=0.544]
Iter 4 | Epoch 76:  76%|███████▌  | 76/100 [15:44<04:58, 12.42s/it, acc=0.984, lr=0.001, test_acc=0.544]
Iter 4 | Epoch 76:  76%|███████▌  | 76/100 [15:56<04:58, 12.42s/it, acc=0.984, lr=0.001, test_acc=0.559]
Iter 4 | Epoch 76:  77%|███████▋  | 77/100 [15:56<04:45, 12.43s/it, acc=0.984, lr=0.001, test_acc=0.559]
Iter 4 | Epoch 77:  77%|███████▋  | 77/100 [15:56<04:45, 12.43s/it, acc=0.984, lr=0.001, test_acc=0.559]
Iter 4 | Epoch 77:  77%|███████▋  | 77/100 [16:09<04:45, 12.43s/it, acc=0.984, lr=0.001, test_acc=0.566]
Iter 4 | Epoch 77:  78%|███████▊  | 78/100 [16:09<04:33, 12.44s/it, acc=0.984, lr=0.001, test_acc=0.566]
Iter 4 | Epoch 78:  78%|███████▊  | 78/100 [16:09<04:33, 12.44s/it, acc=0.984, lr=0.001, test_acc=0.566]
Iter 4 | Epoch 78:  78%|███████▊  | 78/100 [16:21<04:33, 12.44s/it, acc=0.984, lr=0.001, test_acc=0.555]
Iter 4 | Epoch 78:  79%|███████▉  | 79/100 [16:21<04:21, 12.44s/it, acc=0.984, lr=0.001, test_acc=0.555]
Iter 4 | Epoch 79:  79%|███████▉  | 79/100 [16:21<04:21, 12.44s/it, acc=0.984, lr=0.001, test_acc=0.555]
Iter 4 | Epoch 79:  79%|███████▉  | 79/100 [16:34<04:21, 12.44s/it, acc=0.984, lr=0.001, test_acc=0.517]
Iter 4 | Epoch 79:  80%|████████  | 80/100 [16:34<04:08, 12.43s/it, acc=0.984, lr=0.001, test_acc=0.517]
Iter 4 | Epoch 80:  80%|████████  | 80/100 [16:34<04:08, 12.43s/it, acc=0.984, lr=0.001, test_acc=0.517]
Iter 4 | Epoch 80:  80%|████████  | 80/100 [16:46<04:08, 12.43s/it, acc=0.984, lr=0.001, test_acc=0.531]
Iter 4 | Epoch 80:  81%|████████  | 81/100 [16:46<03:56, 12.43s/it, acc=0.984, lr=0.001, test_acc=0.531]
Iter 4 | Epoch 81:  81%|████████  | 81/100 [16:46<03:56, 12.43s/it, acc=0.984, lr=0.001, test_acc=0.531]
Iter 4 | Epoch 81:  81%|████████  | 81/100 [16:58<03:56, 12.43s/it, acc=0.985, lr=0.001, test_acc=0.551]
Iter 4 | Epoch 81:  82%|████████▏ | 82/100 [16:58<03:43, 12.43s/it, acc=0.985, lr=0.001, test_acc=0.551]
Iter 4 | Epoch 82:  82%|████████▏ | 82/100 [16:58<03:43, 12.43s/it, acc=0.985, lr=0.001, test_acc=0.551]
Iter 4 | Epoch 82:  82%|████████▏ | 82/100 [17:11<03:43, 12.43s/it, acc=0.985, lr=0.001, test_acc=0.548]
Iter 4 | Epoch 82:  83%|████████▎ | 83/100 [17:11<03:31, 12.43s/it, acc=0.985, lr=0.001, test_acc=0.548]
Iter 4 | Epoch 83:  83%|████████▎ | 83/100 [17:11<03:31, 12.43s/it, acc=0.985, lr=0.001, test_acc=0.548]
Iter 4 | Epoch 83:  83%|████████▎ | 83/100 [17:23<03:31, 12.43s/it, acc=0.985, lr=0.001, test_acc=0.559]
Iter 4 | Epoch 83:  84%|████████▍ | 84/100 [17:23<03:18, 12.43s/it, acc=0.985, lr=0.001, test_acc=0.559]
Iter 4 | Epoch 84:  84%|████████▍ | 84/100 [17:23<03:18, 12.43s/it, acc=0.985, lr=0.001, test_acc=0.559]
Iter 4 | Epoch 84:  84%|████████▍ | 84/100 [17:36<03:18, 12.43s/it, acc=0.985, lr=0.001, test_acc=0.546]
Iter 4 | Epoch 84:  85%|████████▌ | 85/100 [17:36<03:06, 12.43s/it, acc=0.985, lr=0.001, test_acc=0.546]
Iter 4 | Epoch 85:  85%|████████▌ | 85/100 [17:36<03:06, 12.43s/it, acc=0.985, lr=0.001, test_acc=0.546]
Iter 4 | Epoch 85:  85%|████████▌ | 85/100 [17:48<03:06, 12.43s/it, acc=0.985, lr=0.001, test_acc=0.548]
Iter 4 | Epoch 85:  86%|████████▌ | 86/100 [17:48<02:54, 12.44s/it, acc=0.985, lr=0.001, test_acc=0.548]
Iter 4 | Epoch 86:  86%|████████▌ | 86/100 [17:48<02:54, 12.44s/it, acc=0.985, lr=0.001, test_acc=0.548]
Iter 4 | Epoch 86:  86%|████████▌ | 86/100 [18:01<02:54, 12.44s/it, acc=0.983, lr=0.001, test_acc=0.544]
Iter 4 | Epoch 86:  87%|████████▋ | 87/100 [18:01<02:41, 12.43s/it, acc=0.983, lr=0.001, test_acc=0.544]
Iter 4 | Epoch 87:  87%|████████▋ | 87/100 [18:01<02:41, 12.43s/it, acc=0.983, lr=0.001, test_acc=0.544]
Iter 4 | Epoch 87:  87%|████████▋ | 87/100 [18:13<02:41, 12.43s/it, acc=0.986, lr=0.001, test_acc=0.556]
Iter 4 | Epoch 87:  88%|████████▊ | 88/100 [18:13<02:29, 12.43s/it, acc=0.986, lr=0.001, test_acc=0.556]
Iter 4 | Epoch 88:  88%|████████▊ | 88/100 [18:13<02:29, 12.43s/it, acc=0.986, lr=0.001, test_acc=0.556]
Iter 4 | Epoch 88:  88%|████████▊ | 88/100 [18:25<02:29, 12.43s/it, acc=0.985, lr=0.001, test_acc=0.553]
Iter 4 | Epoch 88:  89%|████████▉ | 89/100 [18:25<02:16, 12.43s/it, acc=0.985, lr=0.001, test_acc=0.553]
Iter 4 | Epoch 89:  89%|████████▉ | 89/100 [18:25<02:16, 12.43s/it, acc=0.985, lr=0.001, test_acc=0.553]
Iter 4 | Epoch 89:  89%|████████▉ | 89/100 [18:38<02:16, 12.43s/it, acc=0.985, lr=0.001, test_acc=0.549]
Iter 4 | Epoch 89:  90%|█████████ | 90/100 [18:38<02:04, 12.42s/it, acc=0.985, lr=0.001, test_acc=0.549]
Iter 4 | Epoch 90:  90%|█████████ | 90/100 [18:38<02:04, 12.42s/it, acc=0.985, lr=0.001, test_acc=0.549]
Iter 4 | Epoch 90:  90%|█████████ | 90/100 [18:50<02:04, 12.42s/it, acc=0.985, lr=0.001, test_acc=0.548]
Iter 4 | Epoch 90:  91%|█████████ | 91/100 [18:50<01:51, 12.42s/it, acc=0.985, lr=0.001, test_acc=0.548]
Iter 4 | Epoch 91:  91%|█████████ | 91/100 [18:50<01:51, 12.42s/it, acc=0.985, lr=0.001, test_acc=0.548]
Iter 4 | Epoch 91:  91%|█████████ | 91/100 [19:03<01:51, 12.42s/it, acc=0.986, lr=0.001, test_acc=0.558]
Iter 4 | Epoch 91:  92%|█████████▏| 92/100 [19:03<01:39, 12.42s/it, acc=0.986, lr=0.001, test_acc=0.558]
Iter 4 | Epoch 92:  92%|█████████▏| 92/100 [19:03<01:39, 12.42s/it, acc=0.986, lr=0.001, test_acc=0.558]
Iter 4 | Epoch 92:  92%|█████████▏| 92/100 [19:15<01:39, 12.42s/it, acc=0.987, lr=0.001, test_acc=0.539]
Iter 4 | Epoch 92:  93%|█████████▎| 93/100 [19:15<01:26, 12.41s/it, acc=0.987, lr=0.001, test_acc=0.539]
Iter 4 | Epoch 93:  93%|█████████▎| 93/100 [19:15<01:26, 12.41s/it, acc=0.987, lr=0.001, test_acc=0.539]
Iter 4 | Epoch 93:  93%|█████████▎| 93/100 [19:27<01:26, 12.41s/it, acc=0.986, lr=0.001, test_acc=0.552]
Iter 4 | Epoch 93:  94%|█████████▍| 94/100 [19:27<01:14, 12.42s/it, acc=0.986, lr=0.001, test_acc=0.552]
Iter 4 | Epoch 94:  94%|█████████▍| 94/100 [19:27<01:14, 12.42s/it, acc=0.986, lr=0.001, test_acc=0.552]
Iter 4 | Epoch 94:  94%|█████████▍| 94/100 [19:40<01:14, 12.42s/it, acc=0.987, lr=0.001, test_acc=0.561]
Iter 4 | Epoch 94:  95%|█████████▌| 95/100 [19:40<01:02, 12.42s/it, acc=0.987, lr=0.001, test_acc=0.561]
Iter 4 | Epoch 95:  95%|█████████▌| 95/100 [19:40<01:02, 12.42s/it, acc=0.987, lr=0.001, test_acc=0.561]
Iter 4 | Epoch 95:  95%|█████████▌| 95/100 [19:52<01:02, 12.42s/it, acc=0.985, lr=0.001, test_acc=0.557]
Iter 4 | Epoch 95:  96%|█████████▌| 96/100 [19:52<00:49, 12.42s/it, acc=0.985, lr=0.001, test_acc=0.557]
Iter 4 | Epoch 96:  96%|█████████▌| 96/100 [19:52<00:49, 12.42s/it, acc=0.985, lr=0.001, test_acc=0.557]
Iter 4 | Epoch 96:  96%|█████████▌| 96/100 [20:05<00:49, 12.42s/it, acc=0.985, lr=0.001, test_acc=0.556]
Iter 4 | Epoch 96:  97%|█████████▋| 97/100 [20:05<00:37, 12.42s/it, acc=0.985, lr=0.001, test_acc=0.556]
Iter 4 | Epoch 97:  97%|█████████▋| 97/100 [20:05<00:37, 12.42s/it, acc=0.985, lr=0.001, test_acc=0.556]
Iter 4 | Epoch 97:  97%|█████████▋| 97/100 [20:17<00:37, 12.42s/it, acc=0.986, lr=0.001, test_acc=0.504]
Iter 4 | Epoch 97:  98%|█████████▊| 98/100 [20:17<00:24, 12.43s/it, acc=0.986, lr=0.001, test_acc=0.504]
Iter 4 | Epoch 98:  98%|█████████▊| 98/100 [20:17<00:24, 12.43s/it, acc=0.986, lr=0.001, test_acc=0.504]
Iter 4 | Epoch 98:  98%|█████████▊| 98/100 [20:30<00:24, 12.43s/it, acc=0.986, lr=0.001, test_acc=0.483]
Iter 4 | Epoch 98:  99%|█████████▉| 99/100 [20:30<00:12, 12.43s/it, acc=0.986, lr=0.001, test_acc=0.483]
Iter 4 | Epoch 99:  99%|█████████▉| 99/100 [20:30<00:12, 12.43s/it, acc=0.986, lr=0.001, test_acc=0.483]
Iter 4 | Epoch 99:  99%|█████████▉| 99/100 [20:42<00:12, 12.43s/it, acc=0.987, lr=0.001, test_acc=0.56] 
Iter 4 | Epoch 99: 100%|██████████| 100/100 [20:42<00:00, 12.43s/it, acc=0.987, lr=0.001, test_acc=0.56]
Iter 4 | Epoch 99: 100%|██████████| 100/100 [20:42<00:00, 12.43s/it, acc=0.987, lr=0.001, test_acc=0.56]

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 5 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 5 | Epoch 0:   0%|          | 0/100 [00:14<?, ?it/s, acc=0.919, lr=0.0001, test_acc=0.409]
Iter 5 | Epoch 0:   1%|          | 1/100 [00:14<24:12, 14.67s/it, acc=0.919, lr=0.0001, test_acc=0.409]
Iter 5 | Epoch 1:   1%|          | 1/100 [00:14<24:12, 14.67s/it, acc=0.919, lr=0.0001, test_acc=0.409]
Iter 5 | Epoch 1:   1%|          | 1/100 [00:29<24:12, 14.67s/it, acc=0.921, lr=0.0002, test_acc=0.525]
Iter 5 | Epoch 1:   2%|▏         | 2/100 [00:29<23:57, 14.67s/it, acc=0.921, lr=0.0002, test_acc=0.525]
Iter 5 | Epoch 2:   2%|▏         | 2/100 [00:29<23:57, 14.67s/it, acc=0.921, lr=0.0002, test_acc=0.525]
Iter 5 | Epoch 2:   2%|▏         | 2/100 [00:44<23:57, 14.67s/it, acc=0.924, lr=0.0003, test_acc=0.54] 
Iter 5 | Epoch 2:   3%|▎         | 3/100 [00:44<23:43, 14.67s/it, acc=0.924, lr=0.0003, test_acc=0.54]
Iter 5 | Epoch 3:   3%|▎         | 3/100 [00:44<23:43, 14.67s/it, acc=0.924, lr=0.0003, test_acc=0.54]
Iter 5 | Epoch 3:   3%|▎         | 3/100 [00:58<23:43, 14.67s/it, acc=0.927, lr=0.0004, test_acc=0.55]
Iter 5 | Epoch 3:   4%|▍         | 4/100 [00:58<23:27, 14.66s/it, acc=0.927, lr=0.0004, test_acc=0.55]
Iter 5 | Epoch 4:   4%|▍         | 4/100 [00:58<23:27, 14.66s/it, acc=0.927, lr=0.0004, test_acc=0.55]
Iter 5 | Epoch 4:   4%|▍         | 4/100 [01:13<23:27, 14.66s/it, acc=0.931, lr=0.0005, test_acc=0.552]
Iter 5 | Epoch 4:   5%|▌         | 5/100 [01:13<23:13, 14.66s/it, acc=0.931, lr=0.0005, test_acc=0.552]
Iter 5 | Epoch 5:   5%|▌         | 5/100 [01:13<23:13, 14.66s/it, acc=0.931, lr=0.0005, test_acc=0.552]
Iter 5 | Epoch 5:   5%|▌         | 5/100 [01:27<23:13, 14.66s/it, acc=0.937, lr=0.0006, test_acc=0.539]
Iter 5 | Epoch 5:   6%|▌         | 6/100 [01:27<22:58, 14.66s/it, acc=0.937, lr=0.0006, test_acc=0.539]
Iter 5 | Epoch 6:   6%|▌         | 6/100 [01:27<22:58, 14.66s/it, acc=0.937, lr=0.0006, test_acc=0.539]
Iter 5 | Epoch 6:   6%|▌         | 6/100 [01:42<22:58, 14.66s/it, acc=0.941, lr=0.0007, test_acc=0.456]
Iter 5 | Epoch 6:   7%|▋         | 7/100 [01:42<22:43, 14.67s/it, acc=0.941, lr=0.0007, test_acc=0.456]
Iter 5 | Epoch 7:   7%|▋         | 7/100 [01:42<22:43, 14.67s/it, acc=0.941, lr=0.0007, test_acc=0.456]
Iter 5 | Epoch 7:   7%|▋         | 7/100 [01:57<22:43, 14.67s/it, acc=0.947, lr=0.0008, test_acc=0.522]
Iter 5 | Epoch 7:   8%|▊         | 8/100 [01:57<22:29, 14.67s/it, acc=0.947, lr=0.0008, test_acc=0.522]
Iter 5 | Epoch 8:   8%|▊         | 8/100 [01:57<22:29, 14.67s/it, acc=0.947, lr=0.0008, test_acc=0.522]
