wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run 89sk39hu
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260708_030509-89sk39hu
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.9_pruning_ratio_0.9_delta_t_8
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/fwmccalv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/89sk39hu
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: rigl
sparsity: 0.9
num_mask_updates: 10000
t_end_ratio: 0.8
pruning_ratio: 0.9
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] rigl | sparsity=0.9 | total_steps=108000 | t_end=86400 

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 5 | Epoch 40:  40%|████      | 40/100 [05:10<07:45,  7.75s/it, acc=0.997, lr=0.001, test_acc=0.632]
Iter 5 | Epoch 40:  40%|████      | 40/100 [05:17<07:45,  7.75s/it, acc=0.997, lr=0.001, test_acc=0.732]
Iter 5 | Epoch 40:  41%|████      | 41/100 [05:17<07:36,  7.74s/it, acc=0.997, lr=0.001, test_acc=0.732]
Iter 5 | Epoch 41:  41%|████      | 41/100 [05:17<07:36,  7.74s/it, acc=0.997, lr=0.001, test_acc=0.732]
Iter 5 | Epoch 41:  41%|████      | 41/100 [05:25<07:36,  7.74s/it, acc=0.997, lr=0.001, test_acc=0.738]
Iter 5 | Epoch 41:  42%|████▏     | 42/100 [05:25<07:29,  7.74s/it, acc=0.997, lr=0.001, test_acc=0.738]
Iter 5 | Epoch 42:  42%|████▏     | 42/100 [05:25<07:29,  7.74s/it, acc=0.997, lr=0.001, test_acc=0.738]
Iter 5 | Epoch 42:  42%|████▏     | 42/100 [05:33<07:29,  7.74s/it, acc=0.997, lr=0.001, test_acc=0.731]
Iter 5 | Epoch 42:  43%|████▎     | 43/100 [05:33<07:22,  7.76s/it, acc=0.997, lr=0.001, test_acc=0.731]
Iter 5 | Epoch 43:  43%|████▎     | 43/100 [05:33<07:22,  7.76s/it, acc=0.997, lr=0.001, test_acc=0.731]
Iter 5 | Epoch 43:  43%|████▎     | 43/100 [05:41<07:22,  7.76s/it, acc=0.997, lr=0.001, test_acc=0.704]
Iter 5 | Epoch 43:  44%|████▍     | 44/100 [05:41<07:14,  7.76s/it, acc=0.997, lr=0.001, test_acc=0.704]
Iter 5 | Epoch 44:  44%|████▍     | 44/100 [05:41<07:14,  7.76s/it, acc=0.997, lr=0.001, test_acc=0.704]
Iter 5 | Epoch 44:  44%|████▍     | 44/100 [05:48<07:14,  7.76s/it, acc=0.997, lr=0.001, test_acc=0.729]
Iter 5 | Epoch 44:  45%|████▌     | 45/100 [05:48<07:05,  7.74s/it, acc=0.997, lr=0.001, test_acc=0.729]
Iter 5 | Epoch 45:  45%|████▌     | 45/100 [05:48<07:05,  7.74s/it, acc=0.997, lr=0.001, test_acc=0.729]
Iter 5 | Epoch 45:  45%|████▌     | 45/100 [05:56<07:05,  7.74s/it, acc=0.997, lr=0.001, test_acc=0.757]
Iter 5 | Epoch 45:  46%|████▌     | 46/100 [05:56<06:58,  7.75s/it, acc=0.997, lr=0.001, test_acc=0.757]
Iter 5 | Epoch 46:  46%|████▌     | 46/100 [05:56<06:58,  7.75s/it, acc=0.997, lr=0.001, test_acc=0.757]
Iter 5 | Epoch 46:  46%|████▌     | 46/100 [06:04<06:58,  7.75s/it, acc=0.996, lr=0.001, test_acc=0.742]
Iter 5 | Epoch 46:  47%|████▋     | 47/100 [06:04<06:50,  7.75s/it, acc=0.996, lr=0.001, test_acc=0.742]
Iter 5 | Epoch 47:  47%|████▋     | 47/100 [06:04<06:50,  7.75s/it, acc=0.996, lr=0.001, test_acc=0.742]
Iter 5 | Epoch 47:  47%|████▋     | 47/100 [06:11<06:50,  7.75s/it, acc=0.997, lr=0.001, test_acc=0.749]
Iter 5 | Epoch 47:  48%|████▊     | 48/100 [06:11<06:42,  7.74s/it, acc=0.997, lr=0.001, test_acc=0.749]
Iter 5 | Epoch 48:  48%|████▊     | 48/100 [06:11<06:42,  7.74s/it, acc=0.997, lr=0.001, test_acc=0.749]
Iter 5 | Epoch 48:  48%|████▊     | 48/100 [06:19<06:42,  7.74s/it, acc=0.997, lr=0.001, test_acc=0.752]
Iter 5 | Epoch 48:  49%|████▉     | 49/100 [06:19<06:34,  7.73s/it, acc=0.997, lr=0.001, test_acc=0.752]
Iter 5 | Epoch 49:  49%|████▉     | 49/100 [06:19<06:34,  7.73s/it, acc=0.997, lr=0.001, test_acc=0.752]
Iter 5 | Epoch 49:  49%|████▉     | 49/100 [06:27<06:34,  7.73s/it, acc=0.998, lr=0.001, test_acc=0.736]
Iter 5 | Epoch 49:  50%|█████     | 50/100 [06:27<06:26,  7.73s/it, acc=0.998, lr=0.001, test_acc=0.736]
Iter 5 | Epoch 50:  50%|█████     | 50/100 [06:27<06:26,  7.73s/it, acc=0.998, lr=0.001, test_acc=0.736]
Iter 5 | Epoch 50:  50%|█████     | 50/100 [06:35<06:26,  7.73s/it, acc=0.997, lr=0.001, test_acc=0.719]
Iter 5 | Epoch 50:  51%|█████     | 51/100 [06:35<06:19,  7.75s/it, acc=0.997, lr=0.001, test_acc=0.719]
Iter 5 | Epoch 51:  51%|█████     | 51/100 [06:35<06:19,  7.75s/it, acc=0.997, lr=0.001, test_acc=0.719]
Iter 5 | Epoch 51:  51%|█████     | 51/100 [06:42<06:19,  7.75s/it, acc=0.997, lr=0.001, test_acc=0.639]
Iter 5 | Epoch 51:  52%|█████▏    | 52/100 [06:42<06:12,  7.75s/it, acc=0.997, lr=0.001, test_acc=0.639]
Iter 5 | Epoch 52:  52%|█████▏    | 52/100 [06:42<06:12,  7.75s/it, acc=0.997, lr=0.001, test_acc=0.639]
Iter 5 | Epoch 52:  52%|█████▏    | 52/100 [06:50<06:12,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.756]
Iter 5 | Epoch 52:  53%|█████▎    | 53/100 [06:50<06:03,  7.74s/it, acc=0.998, lr=0.001, test_acc=0.756]
Iter 5 | Epoch 53:  53%|█████▎    | 53/100 [06:50<06:03,  7.74s/it, acc=0.998, lr=0.001, test_acc=0.756]
Iter 5 | Epoch 53:  53%|█████▎    | 53/100 [06:58<06:03,  7.74s/it, acc=0.997, lr=0.001, test_acc=0.762]
Iter 5 | Epoch 53:  54%|█████▍    | 54/100 [06:58<05:56,  7.75s/it, acc=0.997, lr=0.001, test_acc=0.762]
Iter 5 | Epoch 54:  54%|█████▍    | 54/100 [06:58<05:56,  7.75s/it, acc=0.997, lr=0.001, test_acc=0.762]
Iter 5 | Epoch 54:  54%|█████▍    | 54/100 [07:06<05:56,  7.75s/it, acc=0.997, lr=0.001, test_acc=0.745]
Iter 5 | Epoch 54:  55%|█████▌    | 55/100 [07:06<05:49,  7.76s/it, acc=0.997, lr=0.001, test_acc=0.745]
Iter 5 | Epoch 55:  55%|█████▌    | 55/100 [07:06<05:49,  7.76s/it, acc=0.997, lr=0.001, test_acc=0.745]
Iter 5 | Epoch 55:  55%|█████▌    | 55/100 [07:13<05:49,  7.76s/it, acc=0.998, lr=0.001, test_acc=0.638]
Iter 5 | Epoch 55:  56%|█████▌    | 56/100 [07:13<05:41,  7.76s/it, acc=0.998, lr=0.001, test_acc=0.638]
Iter 5 | Epoch 56:  56%|█████▌    | 56/100 [07:13<05:41,  7.76s/it, acc=0.998, lr=0.001, test_acc=0.638]
Iter 5 | Epoch 56:  56%|█████▌    | 56/100 [07:21<05:41,  7.76s/it, acc=0.998, lr=0.001, test_acc=0.747]
Iter 5 | Epoch 56:  57%|█████▋    | 57/100 [07:21<05:33,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.747]
Iter 5 | Epoch 57:  57%|█████▋    | 57/100 [07:21<05:33,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.747]
Iter 5 | Epoch 57:  57%|█████▋    | 57/100 [07:29<05:33,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.751]
Iter 5 | Epoch 57:  58%|█████▊    | 58/100 [07:29<05:25,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.751]
Iter 5 | Epoch 58:  58%|█████▊    | 58/100 [07:29<05:25,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.751]
Iter 5 | Epoch 58:  58%|█████▊    | 58/100 [07:37<05:25,  7.75s/it, acc=0.997, lr=0.001, test_acc=0.713]
Iter 5 | Epoch 58:  59%|█████▉    | 59/100 [07:37<05:18,  7.76s/it, acc=0.997, lr=0.001, test_acc=0.713]
Iter 5 | Epoch 59:  59%|█████▉    | 59/100 [07:37<05:18,  7.76s/it, acc=0.997, lr=0.001, test_acc=0.713]
Iter 5 | Epoch 59:  59%|█████▉    | 59/100 [07:44<05:18,  7.76s/it, acc=0.997, lr=0.001, test_acc=0.574]
Iter 5 | Epoch 59:  60%|██████    | 60/100 [07:44<05:10,  7.76s/it, acc=0.997, lr=0.001, test_acc=0.574]
Iter 5 | Epoch 60:  60%|██████    | 60/100 [07:44<05:10,  7.76s/it, acc=0.997, lr=0.001, test_acc=0.574]
Iter 5 | Epoch 60:  60%|██████    | 60/100 [07:52<05:10,  7.76s/it, acc=0.998, lr=0.001, test_acc=0.763]
Iter 5 | Epoch 60:  61%|██████    | 61/100 [07:52<05:01,  7.74s/it, acc=0.998, lr=0.001, test_acc=0.763]
Iter 5 | Epoch 61:  61%|██████    | 61/100 [07:52<05:01,  7.74s/it, acc=0.998, lr=0.001, test_acc=0.763]
Iter 5 | Epoch 61:  61%|██████    | 61/100 [08:00<05:01,  7.74s/it, acc=0.998, lr=0.001, test_acc=0.738]
Iter 5 | Epoch 61:  62%|██████▏   | 62/100 [08:00<04:54,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.738]
Iter 5 | Epoch 62:  62%|██████▏   | 62/100 [08:00<04:54,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.738]
Iter 5 | Epoch 62:  62%|██████▏   | 62/100 [08:08<04:54,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.755]
Iter 5 | Epoch 62:  63%|██████▎   | 63/100 [08:08<04:47,  7.76s/it, acc=0.998, lr=0.001, test_acc=0.755]
Iter 5 | Epoch 63:  63%|██████▎   | 63/100 [08:08<04:47,  7.76s/it, acc=0.998, lr=0.001, test_acc=0.755]
Iter 5 | Epoch 63:  63%|██████▎   | 63/100 [08:15<04:47,  7.76s/it, acc=0.998, lr=0.001, test_acc=0.721]
Iter 5 | Epoch 63:  64%|██████▍   | 64/100 [08:15<04:39,  7.76s/it, acc=0.998, lr=0.001, test_acc=0.721]
Iter 5 | Epoch 64:  64%|██████▍   | 64/100 [08:15<04:39,  7.76s/it, acc=0.998, lr=0.001, test_acc=0.721]
Iter 5 | Epoch 64:  64%|██████▍   | 64/100 [08:23<04:39,  7.76s/it, acc=0.998, lr=0.001, test_acc=0.755]
Iter 5 | Epoch 64:  65%|██████▌   | 65/100 [08:23<04:31,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.755]
Iter 5 | Epoch 65:  65%|██████▌   | 65/100 [08:23<04:31,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.755]
Iter 5 | Epoch 65:  65%|██████▌   | 65/100 [08:31<04:31,  7.75s/it, acc=0.997, lr=0.001, test_acc=0.734]
Iter 5 | Epoch 65:  66%|██████▌   | 66/100 [08:31<04:23,  7.75s/it, acc=0.997, lr=0.001, test_acc=0.734]
Iter 5 | Epoch 66:  66%|██████▌   | 66/100 [08:31<04:23,  7.75s/it, acc=0.997, lr=0.001, test_acc=0.734]
Iter 5 | Epoch 66:  66%|██████▌   | 66/100 [08:39<04:23,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.737]
Iter 5 | Epoch 66:  67%|██████▋   | 67/100 [08:39<04:15,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.737]
Iter 5 | Epoch 67:  67%|██████▋   | 67/100 [08:39<04:15,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.737]
Iter 5 | Epoch 67:  67%|██████▋   | 67/100 [08:46<04:15,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.721]
Iter 5 | Epoch 67:  68%|██████▊   | 68/100 [08:46<04:08,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.721]
Iter 5 | Epoch 68:  68%|██████▊   | 68/100 [08:46<04:08,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.721]
Iter 5 | Epoch 68:  68%|██████▊   | 68/100 [08:54<04:08,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.761]
Iter 5 | Epoch 68:  69%|██████▉   | 69/100 [08:54<03:59,  7.74s/it, acc=0.998, lr=0.001, test_acc=0.761]
Iter 5 | Epoch 69:  69%|██████▉   | 69/100 [08:54<03:59,  7.74s/it, acc=0.998, lr=0.001, test_acc=0.761]
Iter 5 | Epoch 69:  69%|██████▉   | 69/100 [09:02<03:59,  7.74s/it, acc=0.998, lr=0.001, test_acc=0.753]
Iter 5 | Epoch 69:  70%|███████   | 70/100 [09:02<03:52,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.753]
Iter 5 | Epoch 70:  70%|███████   | 70/100 [09:02<03:52,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.753]
Iter 5 | Epoch 70:  70%|███████   | 70/100 [09:10<03:52,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.733]
Iter 5 | Epoch 70:  71%|███████   | 71/100 [09:10<03:44,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.733]
Iter 5 | Epoch 71:  71%|███████   | 71/100 [09:10<03:44,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.733]
Iter 5 | Epoch 71:  71%|███████   | 71/100 [09:17<03:44,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.756]
Iter 5 | Epoch 71:  72%|███████▏  | 72/100 [09:17<03:37,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.756]
Iter 5 | Epoch 72:  72%|███████▏  | 72/100 [09:17<03:37,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.756]
Iter 5 | Epoch 72:  72%|███████▏  | 72/100 [09:25<03:37,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.768]
Iter 5 | Epoch 72:  73%|███████▎  | 73/100 [09:25<03:29,  7.74s/it, acc=0.998, lr=0.001, test_acc=0.768]
Iter 5 | Epoch 73:  73%|███████▎  | 73/100 [09:25<03:29,  7.74s/it, acc=0.998, lr=0.001, test_acc=0.768]
Iter 5 | Epoch 73:  73%|███████▎  | 73/100 [09:33<03:29,  7.74s/it, acc=0.998, lr=0.001, test_acc=0.76] 
Iter 5 | Epoch 73:  74%|███████▍  | 74/100 [09:33<03:21,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.76]
Iter 5 | Epoch 74:  74%|███████▍  | 74/100 [09:33<03:21,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.76]
Iter 5 | Epoch 74:  74%|███████▍  | 74/100 [09:41<03:21,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.742]
Iter 5 | Epoch 74:  75%|███████▌  | 75/100 [09:41<03:13,  7.76s/it, acc=0.998, lr=0.001, test_acc=0.742]
Iter 5 | Epoch 75:  75%|███████▌  | 75/100 [09:41<03:13,  7.76s/it, acc=0.998, lr=0.001, test_acc=0.742]
Iter 5 | Epoch 75:  75%|███████▌  | 75/100 [09:48<03:13,  7.76s/it, acc=0.998, lr=0.001, test_acc=0.756]
Iter 5 | Epoch 75:  76%|███████▌  | 76/100 [09:49<03:06,  7.76s/it, acc=0.998, lr=0.001, test_acc=0.756]
Iter 5 | Epoch 76:  76%|███████▌  | 76/100 [09:49<03:06,  7.76s/it, acc=0.998, lr=0.001, test_acc=0.756]
Iter 5 | Epoch 76:  76%|███████▌  | 76/100 [09:56<03:06,  7.76s/it, acc=0.998, lr=0.001, test_acc=0.757]
Iter 5 | Epoch 76:  77%|███████▋  | 77/100 [09:56<02:58,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.757]
Iter 5 | Epoch 77:  77%|███████▋  | 77/100 [09:56<02:58,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.757]
Iter 5 | Epoch 77:  77%|███████▋  | 77/100 [10:04<02:58,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.746]
Iter 5 | Epoch 77:  78%|███████▊  | 78/100 [10:04<02:50,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.746]
Iter 5 | Epoch 78:  78%|███████▊  | 78/100 [10:04<02:50,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.746]
Iter 5 | Epoch 78:  78%|███████▊  | 78/100 [10:12<02:50,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.748]
Iter 5 | Epoch 78:  79%|███████▉  | 79/100 [10:12<02:42,  7.76s/it, acc=0.998, lr=0.001, test_acc=0.748]
Iter 5 | Epoch 79:  79%|███████▉  | 79/100 [10:12<02:42,  7.76s/it, acc=0.998, lr=0.001, test_acc=0.748]
Iter 5 | Epoch 79:  79%|███████▉  | 79/100 [10:19<02:42,  7.76s/it, acc=0.998, lr=0.001, test_acc=0.692]
Iter 5 | Epoch 79:  80%|████████  | 80/100 [10:19<02:35,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.692]
Iter 5 | Epoch 80:  80%|████████  | 80/100 [10:19<02:35,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.692]
Iter 5 | Epoch 80:  80%|████████  | 80/100 [10:27<02:35,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.758]
Iter 5 | Epoch 80:  81%|████████  | 81/100 [10:27<02:27,  7.74s/it, acc=0.998, lr=0.001, test_acc=0.758]
Iter 5 | Epoch 81:  81%|████████  | 81/100 [10:27<02:27,  7.74s/it, acc=0.998, lr=0.001, test_acc=0.758]
Iter 5 | Epoch 81:  81%|████████  | 81/100 [10:35<02:27,  7.74s/it, acc=0.998, lr=0.001, test_acc=0.757]
Iter 5 | Epoch 81:  82%|████████▏ | 82/100 [10:35<02:19,  7.74s/it, acc=0.998, lr=0.001, test_acc=0.757]
Iter 5 | Epoch 82:  82%|████████▏ | 82/100 [10:35<02:19,  7.74s/it, acc=0.998, lr=0.001, test_acc=0.757]
Iter 5 | Epoch 82:  82%|████████▏ | 82/100 [10:43<02:19,  7.74s/it, acc=0.998, lr=0.001, test_acc=0.744]
Iter 5 | Epoch 82:  83%|████████▎ | 83/100 [10:43<02:11,  7.74s/it, acc=0.998, lr=0.001, test_acc=0.744]
Iter 5 | Epoch 83:  83%|████████▎ | 83/100 [10:43<02:11,  7.74s/it, acc=0.998, lr=0.001, test_acc=0.744]
Iter 5 | Epoch 83:  83%|████████▎ | 83/100 [10:50<02:11,  7.74s/it, acc=0.998, lr=0.001, test_acc=0.742]
Iter 5 | Epoch 83:  84%|████████▍ | 84/100 [10:50<02:04,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.742]
Iter 5 | Epoch 84:  84%|████████▍ | 84/100 [10:50<02:04,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.742]
Iter 5 | Epoch 84:  84%|████████▍ | 84/100 [10:58<02:04,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.765]
Iter 5 | Epoch 84:  85%|████████▌ | 85/100 [10:58<01:56,  7.74s/it, acc=0.998, lr=0.001, test_acc=0.765]
Iter 5 | Epoch 85:  85%|████████▌ | 85/100 [10:58<01:56,  7.74s/it, acc=0.998, lr=0.001, test_acc=0.765]
Iter 5 | Epoch 85:  85%|████████▌ | 85/100 [11:06<01:56,  7.74s/it, acc=0.999, lr=0.001, test_acc=0.761]
Iter 5 | Epoch 85:  86%|████████▌ | 86/100 [11:06<01:48,  7.75s/it, acc=0.999, lr=0.001, test_acc=0.761]
Iter 5 | Epoch 86:  86%|████████▌ | 86/100 [11:06<01:48,  7.75s/it, acc=0.999, lr=0.001, test_acc=0.761]
Iter 5 | Epoch 86:  86%|████████▌ | 86/100 [11:14<01:48,  7.75s/it, acc=0.999, lr=0.001, test_acc=0.75] 
Iter 5 | Epoch 86:  87%|████████▋ | 87/100 [11:14<01:40,  7.76s/it, acc=0.999, lr=0.001, test_acc=0.75]
Iter 5 | Epoch 87:  87%|████████▋ | 87/100 [11:14<01:40,  7.76s/it, acc=0.999, lr=0.001, test_acc=0.75]
Iter 5 | Epoch 87:  87%|████████▋ | 87/100 [11:21<01:40,  7.76s/it, acc=0.999, lr=0.001, test_acc=0.761]
Iter 5 | Epoch 87:  88%|████████▊ | 88/100 [11:21<01:33,  7.76s/it, acc=0.999, lr=0.001, test_acc=0.761]
Iter 5 | Epoch 88:  88%|████████▊ | 88/100 [11:21<01:33,  7.76s/it, acc=0.999, lr=0.001, test_acc=0.761]
Iter 5 | Epoch 88:  88%|████████▊ | 88/100 [11:29<01:33,  7.76s/it, acc=0.999, lr=0.001, test_acc=0.769]
Iter 5 | Epoch 88:  89%|████████▉ | 89/100 [11:29<01:25,  7.74s/it, acc=0.999, lr=0.001, test_acc=0.769]
Iter 5 | Epoch 89:  89%|████████▉ | 89/100 [11:29<01:25,  7.74s/it, acc=0.999, lr=0.001, test_acc=0.769]
Iter 5 | Epoch 89:  89%|████████▉ | 89/100 [11:37<01:25,  7.74s/it, acc=0.998, lr=0.001, test_acc=0.725]
Iter 5 | Epoch 89:  90%|█████████ | 90/100 [11:37<01:17,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.725]
Iter 5 | Epoch 90:  90%|█████████ | 90/100 [11:37<01:17,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.725]
Iter 5 | Epoch 90:  90%|█████████ | 90/100 [11:45<01:17,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.75] 
Iter 5 | Epoch 90:  91%|█████████ | 91/100 [11:45<01:09,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.75]
Iter 5 | Epoch 91:  91%|█████████ | 91/100 [11:45<01:09,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.75]
Iter 5 | Epoch 91:  91%|█████████ | 91/100 [11:52<01:09,  7.75s/it, acc=0.999, lr=0.001, test_acc=0.742]
Iter 5 | Epoch 91:  92%|█████████▏| 92/100 [11:52<01:02,  7.75s/it, acc=0.999, lr=0.001, test_acc=0.742]
Iter 5 | Epoch 92:  92%|█████████▏| 92/100 [11:52<01:02,  7.75s/it, acc=0.999, lr=0.001, test_acc=0.742]
Iter 5 | Epoch 92:  92%|█████████▏| 92/100 [12:00<01:02,  7.75s/it, acc=0.999, lr=0.001, test_acc=0.761]
Iter 5 | Epoch 92:  93%|█████████▎| 93/100 [12:00<00:54,  7.73s/it, acc=0.999, lr=0.001, test_acc=0.761]
Iter 5 | Epoch 93:  93%|█████████▎| 93/100 [12:00<00:54,  7.73s/it, acc=0.999, lr=0.001, test_acc=0.761]
Iter 5 | Epoch 93:  93%|█████████▎| 93/100 [12:08<00:54,  7.73s/it, acc=0.999, lr=0.001, test_acc=0.762]
Iter 5 | Epoch 93:  94%|█████████▍| 94/100 [12:08<00:46,  7.74s/it, acc=0.999, lr=0.001, test_acc=0.762]
Iter 5 | Epoch 94:  94%|█████████▍| 94/100 [12:08<00:46,  7.74s/it, acc=0.999, lr=0.001, test_acc=0.762]
Iter 5 | Epoch 94:  94%|█████████▍| 94/100 [12:16<00:46,  7.74s/it, acc=0.998, lr=0.001, test_acc=0.689]
Iter 5 | Epoch 94:  95%|█████████▌| 95/100 [12:16<00:38,  7.76s/it, acc=0.998, lr=0.001, test_acc=0.689]
Iter 5 | Epoch 95:  95%|█████████▌| 95/100 [12:16<00:38,  7.76s/it, acc=0.998, lr=0.001, test_acc=0.689]
Iter 5 | Epoch 95:  95%|█████████▌| 95/100 [12:23<00:38,  7.76s/it, acc=0.999, lr=0.001, test_acc=0.657]
Iter 5 | Epoch 95:  96%|█████████▌| 96/100 [12:23<00:31,  7.76s/it, acc=0.999, lr=0.001, test_acc=0.657]
Iter 5 | Epoch 96:  96%|█████████▌| 96/100 [12:23<00:31,  7.76s/it, acc=0.999, lr=0.001, test_acc=0.657]
Iter 5 | Epoch 96:  96%|█████████▌| 96/100 [12:31<00:31,  7.76s/it, acc=0.999, lr=0.001, test_acc=0.759]
Iter 5 | Epoch 96:  97%|█████████▋| 97/100 [12:31<00:23,  7.74s/it, acc=0.999, lr=0.001, test_acc=0.759]
Iter 5 | Epoch 97:  97%|█████████▋| 97/100 [12:31<00:23,  7.74s/it, acc=0.999, lr=0.001, test_acc=0.759]
Iter 5 | Epoch 97:  97%|█████████▋| 97/100 [12:39<00:23,  7.74s/it, acc=0.998, lr=0.001, test_acc=0.754]
Iter 5 | Epoch 97:  98%|█████████▊| 98/100 [12:39<00:15,  7.76s/it, acc=0.998, lr=0.001, test_acc=0.754]
Iter 5 | Epoch 98:  98%|█████████▊| 98/100 [12:39<00:15,  7.76s/it, acc=0.998, lr=0.001, test_acc=0.754]
Iter 5 | Epoch 98:  98%|█████████▊| 98/100 [12:47<00:15,  7.76s/it, acc=0.998, lr=0.001, test_acc=0.755]
Iter 5 | Epoch 98:  99%|█████████▉| 99/100 [12:47<00:07,  7.76s/it, acc=0.998, lr=0.001, test_acc=0.755]
Iter 5 | Epoch 99:  99%|█████████▉| 99/100 [12:47<00:07,  7.76s/it, acc=0.998, lr=0.001, test_acc=0.755]
Iter 5 | Epoch 99:  99%|█████████▉| 99/100 [12:54<00:07,  7.76s/it, acc=0.998, lr=0.001, test_acc=0.751]
Iter 5 | Epoch 99: 100%|██████████| 100/100 [12:54<00:00,  7.76s/it, acc=0.998, lr=0.001, test_acc=0.751]
Iter 5 | Epoch 99: 100%|██████████| 100/100 [12:54<00:00,  7.75s/it, acc=0.998, lr=0.001, test_acc=0.751]

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 6 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 6 | Epoch 0:   0%|          | 0/100 [00:08<?, ?it/s, acc=0.965, lr=0.0001, test_acc=0.766]
Iter 6 | Epoch 0:   1%|          | 1/100 [00:08<14:29,  8.79s/it, acc=0.965, lr=0.0001, test_acc=0.766]
Iter 6 | Epoch 1:   1%|          | 1/100 [00:08<14:29,  8.79s/it, acc=0.965, lr=0.0001, test_acc=0.766]
Iter 6 | Epoch 1:   1%|          | 1/100 [00:17<14:29,  8.79s/it, acc=0.968, lr=0.0002, test_acc=0.768]
Iter 6 | Epoch 1:   2%|▏         | 2/100 [00:17<14:20,  8.78s/it, acc=0.968, lr=0.0002, test_acc=0.768]
Iter 6 | Epoch 2:   2%|▏         | 2/100 [00:17<14:20,  8.78s/it, acc=0.968, lr=0.0002, test_acc=0.768]
Iter 6 | Epoch 2:   2%|▏         | 2/100 [00:26<14:20,  8.78s/it, acc=0.971, lr=0.0003, test_acc=0.772]
Iter 6 | Epoch 2:   3%|▎         | 3/100 [00:26<14:12,  8.79s/it, acc=0.971, lr=0.0003, test_acc=0.772]
