wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run 3wno7zek
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260623_080005-3wno7zek
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.3_pruning_ratio_0.1_delta_t_1
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/7yfjydkv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/3wno7zek
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 0
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: rigl
sparsity: 0.3
num_mask_updates: 100000
t_end_ratio: 0.8
pruning_ratio: 0.1
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] rigl | sparsity=0.3 | total_steps=108000 | t_end=86400 | delta_t=1

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [01:25<03:51,  3.13s/it, acc=0.97, lr=0.001, test_acc=0.477] 
Iter 0 | Epoch 26:  27%|██▋       | 27/100 [01:25<03:49,  3.14s/it, acc=0.97, lr=0.001, test_acc=0.477]
Iter 0 | Epoch 27:  27%|██▋       | 27/100 [01:25<03:49,  3.14s/it, acc=0.97, lr=0.001, test_acc=0.477]
Iter 0 | Epoch 27:  27%|██▋       | 27/100 [01:28<03:49,  3.14s/it, acc=0.974, lr=0.001, test_acc=0.519]
Iter 0 | Epoch 27:  28%|██▊       | 28/100 [01:28<03:45,  3.14s/it, acc=0.974, lr=0.001, test_acc=0.519]
Iter 0 | Epoch 28:  28%|██▊       | 28/100 [01:28<03:45,  3.14s/it, acc=0.974, lr=0.001, test_acc=0.519]
Iter 0 | Epoch 28:  28%|██▊       | 28/100 [01:31<03:45,  3.14s/it, acc=0.969, lr=0.001, test_acc=0.49] 
Iter 0 | Epoch 28:  29%|██▉       | 29/100 [01:31<03:42,  3.14s/it, acc=0.969, lr=0.001, test_acc=0.49]
Iter 0 | Epoch 29:  29%|██▉       | 29/100 [01:31<03:42,  3.14s/it, acc=0.969, lr=0.001, test_acc=0.49]
Iter 0 | Epoch 29:  29%|██▉       | 29/100 [01:34<03:42,  3.14s/it, acc=0.979, lr=0.001, test_acc=0.533]
Iter 0 | Epoch 29:  30%|███       | 30/100 [01:34<03:39,  3.13s/it, acc=0.979, lr=0.001, test_acc=0.533]
Iter 0 | Epoch 30:  30%|███       | 30/100 [01:34<03:39,  3.13s/it, acc=0.979, lr=0.001, test_acc=0.533]
Iter 0 | Epoch 30:  30%|███       | 30/100 [01:37<03:39,  3.13s/it, acc=0.974, lr=0.001, test_acc=0.502]
Iter 0 | Epoch 30:  31%|███       | 31/100 [01:37<03:36,  3.13s/it, acc=0.974, lr=0.001, test_acc=0.502]
Iter 0 | Epoch 31:  31%|███       | 31/100 [01:37<03:36,  3.13s/it, acc=0.974, lr=0.001, test_acc=0.502]
Iter 0 | Epoch 31:  31%|███       | 31/100 [01:40<03:36,  3.13s/it, acc=0.976, lr=0.001, test_acc=0.493]
Iter 0 | Epoch 31:  32%|███▏      | 32/100 [01:40<03:32,  3.13s/it, acc=0.976, lr=0.001, test_acc=0.493]
Iter 0 | Epoch 32:  32%|███▏      | 32/100 [01:40<03:32,  3.13s/it, acc=0.976, lr=0.001, test_acc=0.493]
Iter 0 | Epoch 32:  32%|███▏      | 32/100 [01:44<03:32,  3.13s/it, acc=0.982, lr=0.001, test_acc=0.503]
Iter 0 | Epoch 32:  33%|███▎      | 33/100 [01:44<03:29,  3.13s/it, acc=0.982, lr=0.001, test_acc=0.503]
Iter 0 | Epoch 33:  33%|███▎      | 33/100 [01:44<03:29,  3.13s/it, acc=0.982, lr=0.001, test_acc=0.503]
Iter 0 | Epoch 33:  33%|███▎      | 33/100 [01:47<03:29,  3.13s/it, acc=0.982, lr=0.001, test_acc=0.513]
Iter 0 | Epoch 33:  34%|███▍      | 34/100 [01:47<03:26,  3.13s/it, acc=0.982, lr=0.001, test_acc=0.513]
Iter 0 | Epoch 34:  34%|███▍      | 34/100 [01:47<03:26,  3.13s/it, acc=0.982, lr=0.001, test_acc=0.513]
Iter 0 | Epoch 34:  34%|███▍      | 34/100 [01:50<03:26,  3.13s/it, acc=0.974, lr=0.001, test_acc=0.522]
Iter 0 | Epoch 34:  35%|███▌      | 35/100 [01:50<03:23,  3.13s/it, acc=0.974, lr=0.001, test_acc=0.522]
Iter 0 | Epoch 35:  35%|███▌      | 35/100 [01:50<03:23,  3.13s/it, acc=0.974, lr=0.001, test_acc=0.522]
Iter 0 | Epoch 35:  35%|███▌      | 35/100 [01:53<03:23,  3.13s/it, acc=0.977, lr=0.001, test_acc=0.509]
Iter 0 | Epoch 35:  36%|███▌      | 36/100 [01:53<03:20,  3.13s/it, acc=0.977, lr=0.001, test_acc=0.509]
Iter 0 | Epoch 36:  36%|███▌      | 36/100 [01:53<03:20,  3.13s/it, acc=0.977, lr=0.001, test_acc=0.509]
Iter 0 | Epoch 36:  36%|███▌      | 36/100 [01:56<03:20,  3.13s/it, acc=0.978, lr=0.001, test_acc=0.511]
Iter 0 | Epoch 36:  37%|███▋      | 37/100 [01:56<03:17,  3.13s/it, acc=0.978, lr=0.001, test_acc=0.511]
Iter 0 | Epoch 37:  37%|███▋      | 37/100 [01:56<03:17,  3.13s/it, acc=0.978, lr=0.001, test_acc=0.511]
Iter 0 | Epoch 37:  37%|███▋      | 37/100 [01:59<03:17,  3.13s/it, acc=0.978, lr=0.001, test_acc=0.544]
Iter 0 | Epoch 37:  38%|███▊      | 38/100 [01:59<03:14,  3.13s/it, acc=0.978, lr=0.001, test_acc=0.544]
Iter 0 | Epoch 38:  38%|███▊      | 38/100 [01:59<03:14,  3.13s/it, acc=0.978, lr=0.001, test_acc=0.544]
Iter 0 | Epoch 38:  38%|███▊      | 38/100 [02:02<03:14,  3.13s/it, acc=0.984, lr=0.001, test_acc=0.525]
Iter 0 | Epoch 38:  39%|███▉      | 39/100 [02:02<03:11,  3.13s/it, acc=0.984, lr=0.001, test_acc=0.525]
Iter 0 | Epoch 39:  39%|███▉      | 39/100 [02:02<03:11,  3.13s/it, acc=0.984, lr=0.001, test_acc=0.525]
Iter 0 | Epoch 39:  39%|███▉      | 39/100 [02:06<03:11,  3.13s/it, acc=0.982, lr=0.001, test_acc=0.493]
Iter 0 | Epoch 39:  40%|████      | 40/100 [02:06<03:08,  3.13s/it, acc=0.982, lr=0.001, test_acc=0.493]
Iter 0 | Epoch 40:  40%|████      | 40/100 [02:06<03:08,  3.13s/it, acc=0.982, lr=0.001, test_acc=0.493]
Iter 0 | Epoch 40:  40%|████      | 40/100 [02:09<03:08,  3.13s/it, acc=0.986, lr=0.001, test_acc=0.51] 
Iter 0 | Epoch 40:  41%|████      | 41/100 [02:09<03:04,  3.13s/it, acc=0.986, lr=0.001, test_acc=0.51]
Iter 0 | Epoch 41:  41%|████      | 41/100 [02:09<03:04,  3.13s/it, acc=0.986, lr=0.001, test_acc=0.51]
