wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run b81jumrz
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260619_090340-b81jumrz
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.99_pruning_ratio_0.3_delta_t_86
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/7yfjydkv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/b81jumrz
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 0
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: rigl
sparsity: 0.99
num_mask_updates: 1000
t_end_ratio: 0.8
pruning_ratio: 0.3
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] rigl | sparsity=0.99 | total_steps=108000 | t_end=86400 | delta_t=86

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:12<04:19,  2.70s/it, acc=0.319, lr=0.0004, test_acc=0.301]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:14<04:19,  2.70s/it, acc=0.314, lr=0.0005, test_acc=0.298]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:14<04:04,  2.57s/it, acc=0.314, lr=0.0005, test_acc=0.298]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:14<04:04,  2.57s/it, acc=0.314, lr=0.0005, test_acc=0.298]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:16<04:04,  2.57s/it, acc=0.359, lr=0.0006, test_acc=0.365]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:16<03:51,  2.47s/it, acc=0.359, lr=0.0006, test_acc=0.365]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:16<03:51,  2.47s/it, acc=0.359, lr=0.0006, test_acc=0.365]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:19<03:51,  2.47s/it, acc=0.41, lr=0.0007, test_acc=0.397] 
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:19<03:43,  2.40s/it, acc=0.41, lr=0.0007, test_acc=0.397]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:19<03:43,  2.40s/it, acc=0.41, lr=0.0007, test_acc=0.397]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:21<03:43,  2.40s/it, acc=0.46, lr=0.0008, test_acc=0.429]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:21<03:36,  2.36s/it, acc=0.46, lr=0.0008, test_acc=0.429]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:21<03:36,  2.36s/it, acc=0.46, lr=0.0008, test_acc=0.429]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:23<03:36,  2.36s/it, acc=0.464, lr=0.0009, test_acc=0.303]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:23<03:33,  2.35s/it, acc=0.464, lr=0.0009, test_acc=0.303]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:23<03:33,  2.35s/it, acc=0.464, lr=0.0009, test_acc=0.303]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:26<03:33,  2.35s/it, acc=0.475, lr=0.001, test_acc=0.381] 
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:26<03:29,  2.33s/it, acc=0.475, lr=0.001, test_acc=0.381]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:26<03:29,  2.33s/it, acc=0.475, lr=0.001, test_acc=0.381]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:28<03:29,  2.33s/it, acc=0.536, lr=0.001, test_acc=0.446]
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:28<03:25,  2.31s/it, acc=0.536, lr=0.001, test_acc=0.446]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:28<03:25,  2.31s/it, acc=0.536, lr=0.001, test_acc=0.446]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:30<03:25,  2.31s/it, acc=0.601, lr=0.001, test_acc=0.44] 
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:30<03:22,  2.30s/it, acc=0.601, lr=0.001, test_acc=0.44]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:30<03:22,  2.30s/it, acc=0.601, lr=0.001, test_acc=0.44]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:32<03:22,  2.30s/it, acc=0.65, lr=0.001, test_acc=0.174]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:32<03:20,  2.31s/it, acc=0.65, lr=0.001, test_acc=0.174]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:32<03:20,  2.31s/it, acc=0.65, lr=0.001, test_acc=0.174]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:35<03:20,  2.31s/it, acc=0.513, lr=0.001, test_acc=0.414]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:35<03:17,  2.30s/it, acc=0.513, lr=0.001, test_acc=0.414]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:35<03:17,  2.30s/it, acc=0.513, lr=0.001, test_acc=0.414]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:37<03:17,  2.30s/it, acc=0.584, lr=0.001, test_acc=0.439]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:37<03:14,  2.29s/it, acc=0.584, lr=0.001, test_acc=0.439]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:37<03:14,  2.29s/it, acc=0.584, lr=0.001, test_acc=0.439]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:39<03:14,  2.29s/it, acc=0.671, lr=0.001, test_acc=0.478]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:39<03:11,  2.28s/it, acc=0.671, lr=0.001, test_acc=0.478]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:39<03:11,  2.28s/it, acc=0.671, lr=0.001, test_acc=0.478]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:41<03:11,  2.28s/it, acc=0.744, lr=0.001, test_acc=0.48] 
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:41<03:09,  2.28s/it, acc=0.744, lr=0.001, test_acc=0.48]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:41<03:09,  2.28s/it, acc=0.744, lr=0.001, test_acc=0.48]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:44<03:09,  2.28s/it, acc=0.604, lr=0.001, test_acc=0.328]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:44<03:08,  2.30s/it, acc=0.604, lr=0.001, test_acc=0.328]
