,timestamp,accuracy
228,1783115975.7804258,0.6361
229,1783115985.2181606,0.6313
230,1783115994.6646087,0.6197
231,1783116004.1377168,0.6283
232,1783116013.3682756,0.6265
233,1783116022.6678429,0.6283
234,1783116031.9318523,0.6198
235,1783116041.1379285,0.6394
236,1783116050.4293082,0.6247
237,1783116059.819006,0.636
238,1783116068.9600964,0.6372
239,1783116078.090899,0.6392
240,1783116087.294564,0.6463
241,1783116096.4578507,0.6477
242,1783116105.5385606,0.6444
243,1783116114.687967,0.639
244,1783116123.896021,0.6449
245,1783116133.3477547,0.6304
246,1783116142.4483862,0.6396
247,1783116152.3247747,0.6304
248,1783116161.8230946,0.6398
249,1783116170.8497007,0.6404
250,1783116179.9305003,0.6398
251,1783116189.4888122,0.6246
252,1783116199.4382823,0.631
253,1783116209.5560172,0.6454
254,1783116219.20166,0.6377
255,1783116228.3412192,0.6337
256,1783116237.5131757,0.6328
257,1783116246.6080377,0.6366
258,1783116255.7176332,0.6314
259,1783116265.7399442,0.6387
260,1783116275.7490046,0.6439
261,1783116284.836717,0.6435
262,1783116294.8673522,0.6324
263,1783116304.9600172,0.6353
264,1783116315.063276,0.6368
265,1783116324.0752609,0.6479
266,1783116333.294932,0.6458
267,1783116343.2463996,0.6447
268,1783116352.4230785,0.643
269,1783116361.688168,0.6399
270,1783116370.8475523,0.6427
271,1783116379.924286,0.6424
272,1783116389.0379918,0.6398
273,1783116398.3273208,0.6406
274,1783116407.7050138,0.6391
275,1783116416.9804862,0.643
276,1783116426.239156,0.6277
277,1783116435.7721088,0.6392
278,1783116444.8433537,0.641
279,1783116453.8823004,0.6528
280,1783116463.037781,0.6469
281,1783116472.2146964,0.6541
282,1783116481.2927792,0.6486
283,1783116490.3790994,0.6408
284,1783116499.4727066,0.6507
285,1783116508.668981,0.6397
286,1783116517.9140224,0.6436
287,1783116527.1348171,0.6379
288,1783116537.2330058,0.6494
289,1783116547.3000677,0.6502
290,1783116556.5295804,0.6515
291,1783116565.8032708,0.6413
292,1783116574.95809,0.6222
293,1783116584.3735187,0.6454
294,1783116594.4807932,0.6377
295,1783116604.028813,0.6459
296,1783116614.2549624,0.6492
297,1783116623.4216573,0.6473
298,1783116632.6055713,0.6466
299,1783116641.7709723,0.6511
300,1783116656.6796699,0.6679
301,1783116667.6120822,0.6765
302,1783116679.5460217,0.6777
303,1783116691.1360447,0.6735
304,1783116702.763515,0.675
305,1783116714.629135,0.6739
306,1783116725.9127004,0.675
307,1783116737.6664171,0.6718
308,1783116748.8660593,0.6646
309,1783116760.060565,0.6459
310,1783116771.1919508,0.6534
311,1783116782.3266609,0.6628
312,1783116793.3933108,0.6642
313,1783116804.608802,0.6694
314,1783116815.8173428,0.6717
315,1783116826.9825451,0.6663
316,1783116839.0857997,0.6624
317,1783116850.3275242,0.6708
318,1783116861.4967103,0.6819
319,1783116872.6784413,0.6664
320,1783116883.845369,0.6785
321,1783116894.918028,0.6733
322,1783116906.2854095,0.6749
323,1783116917.7931352,0.6678
324,1783116929.9129982,0.6804
325,1783116941.5882654,0.6643
326,1783116953.3405201,0.6792
327,1783116964.7170942,0.6794
328,1783116976.1086164,0.6743
329,1783116987.2434738,0.6797
330,1783116998.3355932,0.6721
331,1783117009.258221,0.6646
332,1783117020.0954459,0.6726
333,1783117031.0027316,0.6719
334,1783117042.5553014,0.6716
335,1783117054.7596676,0.6719
336,1783117065.8230686,0.6699
337,1783117077.056783,0.672
338,1783117088.102433,0.6703
339,1783117099.0243623,0.6776
340,1783117110.020167,0.6742
341,1783117121.1641269,0.6696
342,1783117132.6911955,0.674
343,1783117143.7256541,0.6721
344,1783117154.7808516,0.6672
345,1783117165.8359563,0.6708
346,1783117176.8462,0.6739
347,1783117188.0470989,0.6727
348,1783117199.2968223,0.6704
349,1783117210.3986242,0.6839
350,1783117221.4852972,0.6858
351,1783117232.3819668,0.6808
352,1783117243.3570566,0.6779
353,1783117254.0241127,0.6786
354,1783117264.8901348,0.6757
355,1783117275.866682,0.6708
356,1783117286.7635286,0.678
357,1783117297.671525,0.6749
358,1783117308.7319183,0.6649
359,1783117319.702172,0.6663
360,1783117330.7519257,0.6837
361,1783117341.7920072,0.6695
